Date,Merchant,Amount,Category,Description
2026-04-15,Flipkart,627.12,Shopping,CSV Upload test
2026-04-11,Local Grocery,322.33,Food,CSV Upload test
2026-04-18,IRCTC,1115.97,Travel,CSV Upload test
2026-04-13,H&M,602.87,Shopping,CSV Upload test
2026-04-12,Electricity Board,1060.12,Bills,CSV Upload test
2026-04-10,IRCTC,1498.83,Travel,CSV Upload test
2026-04-18,H&M,583.92,Shopping,CSV Upload test
2026-04-13,KFC,972.5,Food,CSV Upload test
2026-04-10,PVR Cinemas,721.05,Entertainment,CSV Upload test
2026-04-17,Phone Reload,1271.02,Bills,CSV Upload test
2026-04-12,IRCTC,1386.74,Travel,CSV Upload test
2026-04-16,Zara,1414.68,Shopping,CSV Upload test
2026-04-18,Ola,565.25,Travel,CSV Upload test
2026-04-18,Netflix,945.34,Entertainment,CSV Upload test
2026-04-13,IRCTC,1115.81,Travel,CSV Upload test
